LST_rur,LST_urb,date,rural_n,urban_n,SUHI,is_extreme
-4.660596720003062,-6.230333287552042,2015-03-03,1322,885,-1.56973656754898,0
2.2583056534077737,-5.863829716280382,2015-03-04,3411,1090,-8.122135369688156,0
-14.543596376666809,-12.68748432505381,2015-03-06,6645,2913,1.8561120516129996,0
-13.876710052439833,-13.7824842646114,2015-03-07,2419,896,0.09422578782843338,0
-3.4690865254875556,-4.1406733944440655,2015-03-08,5056,4218,-0.6715868689565099,0
-10.51076136904821,-11.941026444416565,2015-03-09,2941,157,-1.4302650753683555,0
-7.297070812095974,-12.353259028857764,2015-03-10,1143,96,-5.0561882167617895,0
0.6610769274513725,2.0679359765024525,2015-03-12,4089,3835,1.40685904905108,0
-2.960233926004566,-2.1951749125390405,2015-03-13,6433,5058,0.7650590134655255,0
4.9612472897580115,3.1146175307749817,2015-03-15,3344,3347,-1.8466297589830298,1
2.406073497277271,-1.1496356336007916,2015-03-16,6268,4025,-3.5557091308780624,0
9.43880367997733,10.053399684666964,2015-03-17,1513,70,0.6145960046896342,1
-3.995268446390656,-1.5405089144064708,2015-03-18,7494,4012,2.454759531984185,0
0.46103157740022116,-4.119267321772206,2015-03-19,5724,3590,-4.580298899172427,0
-2.790969722920987,-3.4593239706243293,2015-03-21,1153,535,-0.6683542477033422,0
0.618447693593283,1.347549900810211,2015-03-22,6809,4804,0.729102207216928,0
-2.222429300013913,-3.862061726179769,2015-03-23,4461,1751,-1.6396324261658561,0
-7.679450371944713,-8.364949696444032,2015-03-24,101,123,-0.685499324499319,0
-3.641638954115037,-4.765972394984754,2015-03-25,6795,5104,-1.1243334408697168,0
2.264426879742496,2.5314401816244767,2015-03-26,2606,664,0.2670133018819807,0
0.27278863617580595,1.5048189675309736,2015-03-27,1835,32,1.2320303313551677,0
-5.197744198034056,-0.08669369642828349,2015-03-28,1395,301,5.111050501605773,0
-6.336460270923732,-6.2077176754329235,2015-03-29,9381,4672,0.12874259549080858,0
13.988578392184825,14.338682745825649,2015-03-30,2685,43,0.35010435364082326,1
-0.8162289954804385,0.0996258678970759,2015-03-31,1889,2935,0.9158548633775144,0
-0.3615216216945073,0.1594026011812563,2015-04-01,6951,3917,0.5209242228757636,0
-2.0135867043884907,-0.5702855055590726,2015-04-02,3089,3357,1.4433011988294182,0
15.348899561340478,18.34548655149796,2015-04-03,1902,39,2.996586990157482,1
1.1598018769551888,2.47298802509032,2015-04-04,107,34,1.3131861481351312,0
-0.3494451577820492,1.0418149261140761,2015-04-05,2632,2831,1.3912600838961253,0
1.2161765021141542,2.526167917042229,2015-04-06,3265,2837,1.3099914149280747,0
10.656889687857513,11.669619771863154,2015-04-09,515,36,1.012730084005641,1
5.637447044232026,6.379142964776828,2015-04-11,1177,50,0.7416959205448022,0
1.2263187808896505,2.2845951614587614,2015-04-12,487,2656,1.0582763805691109,0
17.2014680677056,11.321696254863843,2015-04-14,1298,91,-5.879771812841758,0
9.502425225978591,10.279671791516758,2015-04-17,2200,86,0.7772465655381673,0
9.336723663812611,10.51676527756518,2015-04-18,2934,3054,1.180041613752568,0
8.132414778286591,8.919259259259283,2015-04-19,108,54,0.7868444809726913,0
18.16258901935897,18.355111532985312,2015-04-20,200,33,0.19252251362634354,1
7.8745953156866335,2.54460329067645,2015-04-21,1749,73,-5.329992025010183,0
5.2937620237871075,6.560486987624904,2015-04-22,2041,2634,1.2667249638377962,0
1.1783710804623249,2.4974528366515707,2015-04-23,3281,4087,1.3190817561892458,0
-1.7458495788770185,-0.5060278615859918,2015-04-24,3367,208,1.2398217172910266,0
-1.6424924394742986,-0.12085380095872579,2015-04-25,4528,3555,1.5216386385155727,0
3.9491000284912783,3.5038397781311375,2015-04-26,3782,2077,-0.44526025036014083,0
1.8733380565149813,3.7491994474077073,2015-04-27,4755,3187,1.875861390892726,0
6.389364769910861,2.847817882579964,2015-04-28,3242,1047,-3.541546887330897,0
6.476733311417838,8.675583343670102,2015-04-29,749,2881,2.198850032252264,0
6.165344524021407,8.70779350344032,2015-04-30,5322,4179,2.5424489794189125,0
5.171800564859045,7.189053287351231,2015-05-01,1065,113,2.017252722492186,0
3.2194383984355954,4.958335447183955,2015-05-02,4915,3187,1.7388970487483593,0
7.896116302379292,7.6050515443281625,2015-05-03,2868,579,-0.29106475805112986,0
9.24567582406201,11.300895663950529,2015-05-04,2365,2727,2.055219839888519,0
13.390061407292793,15.33449071436342,2015-05-05,2639,2910,1.944429307070628,0
14.198790091082934,15.075384615384628,2015-05-06,1907,797,0.8765945243016944,0
11.591380874014318,9.166243206608346,2015-05-07,3129,2240,-2.4251376674059717,0
13.41950990412725,13.889432385065277,2015-05-08,2429,2908,0.4699224809380276,0
12.178171960930849,12.363823454923494,2015-05-09,5960,4280,0.1856514939926459,0
15.640630231719424,17.266404674784724,2015-05-10,7207,2292,1.6257744430652998,0
17.070170603702643,18.081965321194513,2015-05-11,1940,265,1.0117947174918704,1
14.873233571876293,15.835841232955042,2015-05-12,3129,1160,0.9626076610787493,0
12.47032013289845,11.918988302893524,2015-05-13,939,39,-0.5513318300049264,0
8.063717910152759,8.473833806633557,2015-05-14,2413,3435,0.41011589648079827,0
11.768355205013346,12.899466737870029,2015-05-16,3451,2521,1.131111532856682,0
15.859912072561881,16.21193608897373,2015-05-18,6127,1848,0.352024016411848,0
14.321251282687179,15.42260223009341,2015-05-20,3242,3182,1.1013509474062317,0
8.737759431022695,8.907014115147012,2015-05-22,3195,2772,0.16925468412431677,0
7.427643026604149,10.307883179548444,2015-05-23,914,2961,2.880240152944295,0
8.6484074335846,9.253347409306732,2015-05-24,4166,3083,0.6049399757221323,0
13.084067734465483,13.51667192636426,2015-05-25,1289,52,0.4326041918987773,0
15.22594805194807,16.489374969700886,2015-05-26,1441,2649,1.2634269177528168,0
16.499811663117615,18.911978655330625,2015-05-28,5223,2132,2.4121669922130096,1
16.357909462216405,16.96095341535341,2015-05-29,3014,3387,0.6030439531370035,0
15.931171484467859,16.511689462531344,2015-05-30,1148,80,0.5805179780634848,0
17.56556634731203,19.25724331382423,2015-05-31,2917,2278,1.6916769665122011,1
12.85775532499637,10.357739660147518,2015-06-01,1220,55,-2.5000156648488527,0
12.053551737802776,10.82774037235401,2015-06-04,1782,97,-1.2258113654487666,0
11.637823389550311,11.226458940338915,2015-06-05,2432,1181,-0.4113644492113959,0
14.81162883941689,14.547731561717722,2015-06-06,2729,233,-0.2638972776991686,0
13.704969453602294,12.5101881393948,2015-06-07,5788,2954,-1.1947813142074946,0
11.26131735431797,4.3748674264793,2015-06-08,858,372,-6.886449927838671,0
16.366631688614795,16.45382493582576,2015-06-10,1997,3325,0.08719324721096555,0
16.986979818860576,18.600051544130064,2015-06-11,2522,1873,1.6130717252694886,0
18.150537663343027,19.816993774468926,2015-06-13,1178,179,1.6664561111258998,1
15.764422130397937,18.24290488541702,2015-06-17,4016,4513,2.4784827550190816,0
19.55634891589901,20.91200835794165,2015-06-22,2959,829,1.35565944204264,1
14.446023597240195,16.879180529475555,2015-06-25,530,1339,2.4331569322353594,0
17.374964568494253,11.542788629480697,2015-06-26,1184,357,-5.832175939013556,0
16.954410469883353,16.854452886347627,2015-06-27,676,210,-0.09995758353572626,0
14.842258294665234,15.85205398904736,2015-06-29,4689,3461,1.0097956943821256,0
15.686225984732523,15.796030035226549,2015-06-30,2443,529,0.10980405049402542,0
16.175703563475107,17.765722774129717,2015-07-02,4083,2962,1.59001921065461,0
15.122397341099939,15.408240663952784,2015-07-03,6580,4450,0.28584332285284475,0
15.843102604825228,14.525633688254239,2015-07-05,3659,2800,-1.3174689165709896,0
18.264699159899124,18.49027020362003,2015-07-07,4903,2180,0.2255710437209082,0
16.86149971685547,22.628908967246026,2015-07-08,2624,1549,5.767409250390557,1
14.014175723010649,13.635021338487755,2015-07-10,2198,325,-0.3791543845228933,0
17.932796533829308,17.443320865615853,2015-07-11,2223,96,-0.4894756682134549,0
16.910217043241264,18.41597830445659,2015-07-12,2795,3243,1.5057612612153264,0
19.828099050958354,19.541807049302555,2015-07-13,1940,78,-0.2862920016557986,0
16.811304319232516,15.91293103971056,2015-07-14,1067,506,-0.8983732795219552,0
14.569745762265276,15.27484396915154,2015-07-16,3928,2341,0.7050982068862641,0
15.835624313754904,15.261705928376127,2015-07-17,5753,1330,-0.5739183853787768,0
19.543855604588313,19.817956179850814,2015-07-20,2284,134,0.2741005752625014,0
19.11037629354156,19.50819989898281,2015-07-22,2408,3318,0.39782360544124984,0
14.044563493177638,16.879560290117897,2015-07-23,1162,64,2.83499679694026,0
15.318791032392477,15.791660590844385,2015-07-24,6580,3752,0.47286955845190803,0
16.033689622484875,16.296462724896767,2015-07-25,4647,2610,0.26277310241189156,0
17.07948229278466,17.52149232623547,2015-07-26,4763,753,0.4420100334508099,0
18.928519728701893,17.977629538046553,2015-07-27,3340,76,-0.9508901906553398,0
18.683481973753864,19.852848512429297,2015-07-28,6080,4013,1.1693665386754333,0
19.238073430443407,22.264789599171483,2015-07-29,6904,3082,3.0267161687280755,1
19.132082616562784,19.56669406617785,2015-07-30,5013,1366,0.4346114496150655,0
19.910758596224,21.103882129784687,2015-07-31,1556,2729,1.1931235335606871,1
18.433184167339576,18.742251783547694,2015-08-01,6184,1735,0.30906761620811807,0
16.54816071021099,17.2840340436722,2015-08-02,5764,2739,0.7358733334612104,0
18.453557178039173,19.947545978309346,2015-08-03,3360,3199,1.4939888002701736,0
19.91128888393358,18.699201324104745,2015-08-04,669,116,-1.2120875598288343,0
