LST_rur,date,rural_n,urban_n,LST_urb,SUHI,is_extreme
-12.928662154291981,-7.21476276377182,2015-03-07,853,1334,5.713899390520161,0
-7.449214470979441,-5.531237531726201,2015-03-08,2392,3912,1.91797693925324,0
-3.7650411166453543,-4.134266782499846,2015-03-09,1071,4111,-0.36922566585449124,0
-8.12197343938763,-9.137895457154185,2015-03-10,447,274,-1.0159220177665542,0
-1.1761985763172382,1.5971773789186703,2015-03-11,1650,1778,2.7733759552359087,1
-1.907246224845348,-2.1321300901654787,2015-03-12,5004,4568,-0.22488386532013083,0
-1.5938236496619238,-0.7280067066280982,2015-03-15,4593,4340,0.8658169430338256,0
0.17736490412554015,1.9615143955930066,2015-03-16,54,38,1.7841494914674665,1
1.8551882228973537,0.06617399403272473,2015-03-17,1274,730,-1.789014228864629,0
-4.366251150856514,-4.1834275396451295,2015-03-18,260,78,0.18282361121138457,0
-5.779566789781452,-5.948372421380727,2015-03-20,611,429,-0.16880563159927497,0
0.36676265048261586,1.038146935420523,2015-03-21,1616,3480,0.6713842849379072,0
-2.84768582847016,-1.3138318306757748,2015-03-22,5802,4386,1.533853997794385,0
-9.751159067882458,-7.473090287138606,2015-03-24,1120,1789,2.278068780743852,0
-4.247965296131646,-3.967441185949057,2015-03-27,1041,235,0.28052411018258905,0
-9.747717667326828,-7.559389773580588,2015-03-28,5436,4321,2.18832789374624,0
-5.515036220018579,-5.0751851851851555,2015-03-29,2994,1081,0.43985103483342325,0
-0.7325013422249553,-0.5356429469825373,2015-03-30,137,3843,0.196858395242418,0
3.930411955822886,5.9792411907444345,2015-03-31,1380,3512,2.0488292349215484,1
0.8884388659922855,2.111014732371429,2015-04-01,124,4151,1.2225758663791433,0
-3.294317488165251,-1.9467100968104971,2015-04-04,1300,3946,1.3476073913547537,0
-0.199611885706338,1.508165172076332,2015-04-06,3170,4466,1.70777705778267,0
2.5397229437229734,0.5441079938854707,2015-04-07,325,870,-1.9956149498375026,0
6.688007484258429,7.304759581143225,2015-04-09,528,677,0.6167520968847962,0
-0.20479915524664116,1.1673577409395295,2015-04-10,4725,4905,1.3721568961861705,0
0.8126060586714643,2.1370305071137583,2015-04-11,123,3942,1.324424448442294,0
1.878955598147293,4.7420571205421975,2015-04-12,490,4309,2.8631015223949046,0
0.5319252732909415,2.528659332924964,2015-04-14,432,907,1.9967340596340222,0
-0.3873496051355193,2.023816276327316,2015-04-15,1698,4457,2.4111658814628356,0
2.498332417150963,2.4357295606133804,2015-04-16,600,462,-0.06260285653758269,0
4.327384044239938,7.471781610452749,2015-04-17,1011,2875,3.1443975662128105,1
9.172425594177737,11.06712143621482,2015-04-18,1651,572,1.8946958420370823,1
6.467838401932045,8.162688232742923,2015-04-19,983,570,1.6948498308108775,1
4.396186410660443,4.537430406650019,2015-04-20,321,418,0.14124399598957638,0
1.4715109944657914,3.5258201753584713,2015-04-21,2175,4731,2.05430918089268,0
-2.9034584375112926,0.11594440315466835,2015-04-22,1730,4442,3.0194028406659608,0
-2.3130170441284315,-0.8468435778404956,2015-04-23,3515,4625,1.4661734662879358,0
-4.864283432268274,-1.6928296160984915,2015-04-24,1375,4808,3.1714538161697825,0
0.9311640082795861,1.3156651292188581,2015-04-25,903,438,0.384501120939272,0
0.1593050161204586,1.3994733012476082,2015-04-26,2137,3968,1.2401682851271496,0
0.2864381167967549,2.856556858006808,2015-04-27,393,3901,2.5701187412100532,0
0.4578928229389731,1.5969795969582943,2015-04-28,543,3965,1.1390867740193211,0
-0.6136801465277957,0.9280118046590082,2015-04-29,2475,1782,1.541691951186804,0
2.7385729733421624,4.549260986389816,2015-04-30,1375,2610,1.810688013047654,0
0.3579814641481943,2.375840924153257,2015-05-01,254,3975,2.017859460005063,0
4.787460167031957,6.689587373837355,2015-05-02,663,83,1.9021272068053978,0
6.880380471435223,6.391282452956386,2015-05-03,1933,417,-0.4890980184788374,0
13.006180263575212,13.234822795138397,2015-05-07,1252,3888,0.22864253156318526,0
2.9078715653622282,1.5338140320873341,2015-05-10,75,392,-1.374057533274894,0
10.773061336360815,8.475851432894247,2015-05-11,1414,670,-2.297209903466568,0
-3.103600233080233,-2.458931641869908,2015-05-12,458,512,0.6446685912103249,0
3.5566545996464654,4.168247253297612,2015-05-13,646,4095,0.6115926536511469,0
6.544565932675301,9.658586729992239,2015-05-15,463,1101,3.114020797316938,0
12.416128369075965,13.051931681292277,2015-05-17,2109,1864,0.6358033122163125,0
15.47940825938373,16.645391838908026,2015-05-18,1094,168,1.1659835795242959,1
1.143272518434223,-1.1316414029533983,2015-05-19,766,1293,-2.274913921387621,0
-3.0830470552590166,-7.887388068117714,2015-05-21,337,37,-4.804341012858697,0
8.160833939063568,10.089813850565168,2015-05-22,519,3789,1.9289799115015995,0
6.575601001576659,7.179352429130353,2015-05-23,1760,1072,0.6037514275536946,0
9.216436346227741,10.976827566152974,2015-05-24,746,246,1.760391219925232,0
13.537896428739804,15.847719025064018,2015-05-26,2496,606,2.3098225963242136,0
15.749217516024263,16.885138927037353,2015-05-27,4833,3061,1.13592141101309,1
10.638226697793455,13.75010551296655,2015-05-28,2081,4116,3.111878815173096,0
4.3728652719595305,6.47853466673289,2015-05-31,1869,1600,2.1056693947733596,0
6.635294055854881,4.82445597684109,2015-06-01,261,55,-1.8108380790137906,0
4.603974091462385,5.9508238575702075,2015-06-02,88,4093,1.3468497661078223,0
8.621194805833973,9.971761190482281,2015-06-03,3351,1852,1.3505663846483085,0
10.575876353306507,12.189114181635512,2015-06-04,1041,163,1.6132378283290052,0
13.965958171077096,14.55572699822122,2015-06-05,3838,812,0.5897688271441233,0
9.665839273666773,12.029806710927168,2015-06-06,2251,2632,2.3639674372603956,0
11.132075918526475,10.302631305780311,2015-06-07,805,347,-0.8294446127461637,0
16.598163328790708,15.583234876032222,2015-06-08,528,736,-1.014928452758486,0
12.424272799658382,13.425893174636482,2015-06-09,2915,4484,1.0016203749780992,0
18.62960030296032,20.981356272489375,2015-06-10,2684,3856,2.351755969529055,1
12.340539371987184,11.886560573798091,2015-06-16,1606,212,-0.4539787981890928,0
11.520794591591073,12.876196479667062,2015-06-17,868,222,1.3554018880759884,0
12.227970658987003,13.324354817260602,2015-06-20,1159,2749,1.0963841582735991,0
18.727989609665805,19.206595305130033,2015-06-22,983,429,0.4786056954642284,1
15.439226239620126,15.903592959741054,2015-06-24,1146,4015,0.4643667201209283,0
16.676218761473017,15.815274267470292,2015-06-26,457,1477,-0.8609444940027249,0
12.0359677419355,12.953094367566088,2015-06-27,124,171,0.9171266256305888,0
12.888187685084588,13.208713131114,2015-06-28,948,3836,0.3205254460294107,0
16.069255143414953,16.788475765306142,2015-06-30,444,51,0.7192206218911892,0
12.462447696868791,12.34156198929648,2015-07-01,1436,1509,-0.12088570757231132,0
9.532718906241202,10.842111237047448,2015-07-02,902,4148,1.3093923308062454,0
11.333808240471047,14.085257624928737,2015-07-04,703,4128,2.7514493844576897,0
16.290102235923094,16.97239968256839,2015-07-05,100,3924,0.6822974466452969,0
16.285339015312818,18.863786937322317,2015-07-06,2258,3352,2.5784479220094987,0
12.44288561427284,12.87692757188993,2015-07-10,555,59,0.4340419576170902,0
12.535140328259065,14.99075666732754,2015-07-11,944,3455,2.4556163390684755,0
16.301239776500182,17.060008167463277,2015-07-12,533,259,0.7587683909630947,0
16.244795310737942,14.106138574400976,2015-07-13,2082,1423,-2.1386567363369657,0
18.555016000440958,20.251786069941232,2015-07-14,1211,1161,1.6967700695002748,0
15.457886601445058,15.391480769334182,2015-07-15,1155,3659,-0.0664058321108758,0
18.2297183448477,18.7944468477326,2015-07-17,917,160,0.5647285028849005,0
20.195732931987443,21.49741086755966,2015-07-18,300,335,1.301677935572215,1
20.90885935764241,23.493861332860117,2015-07-19,805,4081,2.5850019752177076,1
14.553658504927114,16.11600589748117,2015-07-20,4875,5726,1.5623473925540559,0
17.553960310067477,18.65211961558602,2015-07-21,2421,2666,1.0981593055185428,0
14.342049648450367,15.8864340103675,2015-07-22,2629,4188,1.5443843619171336,0
15.024396066301872,15.822879890405122,2015-07-23,1624,1344,0.7984838241032506,0
16.95673358552759,18.459215807851752,2015-07-24,104,3983,1.5024822223241614,0
18.783893387502573,20.406191106925192,2015-07-25,1820,3169,1.622297719422619,1
17.248812310464086,16.54810856510273,2015-07-26,2938,1054,-0.7007037453613556,0
16.286246780358006,17.59571588979185,2015-07-27,2121,836,1.309469109433845,0
16.996021965829563,20.050355358213626,2015-07-28,1256,3858,3.0543333923840628,0
17.43365447622424,18.797618230505638,2015-07-30,88,3827,1.3639637542813965,0
18.235595565898645,19.253575741589323,2015-07-31,219,3860,1.0179801756906777,0
15.474969046388365,16.144538579005513,2015-08-01,651,3332,0.6695695326171478,0
18.838085106383,21.034455993077007,2015-08-02,859,4253,2.1963708866940053,1
15.556440156104642,15.444672529171015,2015-08-03,5498,3207,-0.11176762693362718,0
14.47101588478609,16.12252449079787,2015-08-04,676,3985,1.6515086060117792,0
11.471320849901328,14.872146705040242,2015-08-05,1516,539,3.4008258551389137,0
13.889119170984486,16.105221772228226,2015-08-06,627,445,2.2161026012437404,0
14.1416506631873,15.417972739469851,2015-08-07,2812,780,1.2763220762825522,0
16.6903462870866,18.955986089142044,2015-08-08,1706,3058,2.2656398020554427,0
13.557751768317118,15.208737214488997,2015-08-09,145,54,1.6509854461718785,0
15.851563111416647,17.513504713813024,2015-08-10,1707,2244,1.661941602396377,0
17.979487697626862,18.97723611421868,2015-08-11,1167,3579,0.9977484165918185,0
13.299011694704154,15.782703476612806,2015-08-12,1301,4202,2.483691781908652,0
13.956410093383669,16.315536918807197,2015-08-13,1974,1732,2.3591268254235285,0
16.588029690544364,17.98750605896634,2015-08-15,2263,2963,1.3994763684219755,0
19.01229785413464,21.30648120850406,2015-08-16,2931,4271,2.2941833543694194,1
18.340595777533252,21.73236889993783,2015-08-17,1677,3809,3.391773122404576,1
9.80979476598981,16.759505794620814,2015-08-19,74,360,6.949711028631004,0
13.684092448185481,14.517407186452294,2015-08-20,2543,2034,0.8333147382668127,0
10.677087377091075,12.90042524149721,2015-08-21,491,4124,2.223337864406135,0
15.47065502154936,16.689043749641336,2015-08-22,601,3987,1.2183887280919752,0
16.055507895217723,18.44033298143844,2015-08-23,1462,3842,2.3848250862207188,0
13.135724009561645,13.60063835856994,2015-08-24,1210,3735,0.46491434900829454,0
9.569289384698717,7.053774531646577,2015-08-25,1147,413,-2.5155148530521396,0
12.032342192586464,13.25947991614019,2015-08-26,1244,3384,1.2271377235537262,0
11.530944248062049,12.108073723152595,2015-08-27,635,3633,0.5771294750905458,0
9.930491153176652,12.9208300683826,2015-08-28,4164,5205,2.990338915205948,0
15.380793092505439,16.400940889640786,2015-08-30,296,162,1.0201477971353476,0
15.736763219704937,16.524040713646375,2015-08-31,3722,4568,0.7872774939414384,0
19.439715347750948,21.188484564624265,2015-09-01,4028,4549,1.7487692168733169,1
19.461477265247098,21.494456640870887,2015-09-02,3873,4252,2.032979375623789,1
18.936593511713543,21.351141227245297,2015-09-03,3700,3166,2.4145477155317536,1
17.257756075641733,19.748274997964764,2015-09-04,1757,4882,2.49051892232303,0
18.777058478487685,20.19537481756315,2015-09-05,3866,4452,1.4183163390754636,0
16.26365148228495,19.50425402546186,2015-09-06,4459,3720,3.2406025431769123,0
11.300764208260347,12.69330621922309,2015-09-10,885,108,1.3925420109627424,0
9.566726224933289,10.340909310669952,2015-09-12,909,1152,0.774183085736663,0
5.94273067943218,8.175191933828211,2015-09-13,1737,4116,2.232461254396031,0
10.362820427116816,11.12204806737475,2015-09-14,327,3962,0.7592276402579348,0
12.478966231241323,15.109385277555305,2015-09-15,2793,1653,2.630419046313982,0
11.109298889763126,14.57404376867641,2015-09-16,943,2059,3.464744878913283,0
14.762439721890795,16.94945082949926,2015-09-17,2352,3931,2.1870111076084644,0
10.478986249604704,13.388497957578508,2015-09-19,2904,2124,2.909511707973804,0
6.100438906613797,9.449159557347821,2015-09-20,681,3800,3.348720650734024,0
9.811902563912811,10.617967016714433,2015-09-21,1165,3239,0.8060644528016212,0
10.102236397080668,11.6256935041143,2015-09-22,65,3877,1.5234571070336322,0
10.951660173062761,12.508003469253161,2015-09-23,1481,160,1.5563432961904002,0
11.937292363590833,13.497046039064868,2015-09-25,2509,1019,1.5597536754740347,0
11.662763713116373,13.456495277541975,2015-09-26,2285,1490,1.7937315644256024,0
12.859876706258532,13.825367750972934,2015-09-27,451,961,0.9654910447144012,0
14.390597062997635,15.963099420099953,2015-09-28,1557,2736,1.5725023571023176,0
13.214032866287573,13.287696241363154,2015-09-29,4721,2738,0.07366337507558107,0
9.461734001569432,11.207089968145553,2015-09-30,1214,4295,1.7453559665761205,0
5.809834282817572,8.775030393948112,2015-10-01,647,4486,2.96519611113054,0
6.997266753824492,9.244590962802565,2015-10-02,926,3972,2.247324208978073,0
7.022600765743076,5.861482166150523,2015-10-04,2718,1972,-1.1611185995925526,0
7.948606553977012,6.545128759142802,2015-10-05,755,490,-1.4034777948342096,0
11.094991827325622,10.899509623114412,2015-10-07,1677,86,-0.19548220421120988,1
7.768408356394209,9.48251353531455,2015-10-08,6064,4820,1.7141051789203416,0
5.623383173203304,7.552409538212047,2015-10-09,135,359,1.9290263650087436,0
2.910837560818759,6.44992593409667,2015-10-10,1513,2673,3.539088373277911,0
6.587642439262184,8.514949379447149,2015-10-11,2275,1043,1.9273069401849652,0
12.885051361844642,14.546397758821273,2015-10-12,3312,3831,1.6613463969766311,1
4.795329151764624,7.253150595428219,2015-10-13,4950,2672,2.4578214436635957,0
4.112525536669098,6.651973782164343,2015-10-14,1180,2366,2.5394482454952447,0
5.363784617728877,6.522965643223506,2015-10-15,101,3923,1.1591810254946289,0
3.6217620804131587,4.913297418709235,2015-10-16,212,4277,1.2915353382960766,0
-1.453664148668657,0.8394942956339553,2015-10-17,720,3928,2.2931584443026125,0
-1.556299307568431,0.22169228902554483,2015-10-18,3432,4164,1.7779915965939759,0
5.588402866955387,6.57182647158759,2015-10-19,131,3791,0.9834236046322031,0
10.427025063500082,11.15307638669005,2015-10-20,1697,2231,0.7260513231899672,1
8.030096220258683,9.95809137690275,2015-10-22,1649,510,1.9279951566440676,0
9.587757926052921,7.716406365794136,2015-10-24,1909,1148,-1.871351560258785,0
6.460420084768965,6.908408410568772,2015-10-25,460,3936,0.4479883257998072,0
0.5824818539547358,2.903974866453357,2015-10-26,1403,4382,2.321493012498621,0
-0.8685643832396369,1.0783055277336326,2015-10-29,927,4139,1.9468699109732697,0
1.8131081448702664,2.1189365857926488,2015-10-30,1730,4137,0.30582844092238237,0
7.213228487691321,7.970295011032604,2015-11-01,577,4021,0.7570665233412832,0
4.039830804893578,7.468823468328165,2015-11-02,2847,2879,3.4289926634345873,0
6.154813515001408,8.115135111105843,2015-11-03,228,3988,1.9603215961044356,0
7.319262652169553,9.487173786122439,2015-11-04,2460,1950,2.1679111339528854,1
12.28405260288239,13.908724746700772,2015-11-05,2081,3610,1.6246721438183815,1
0.49676422681264754,2.4587113840135486,2015-11-07,2001,3984,1.961947157200901,0
-2.1482295089423804,-0.42362488203755505,2015-11-08,6212,4675,1.7246046269048254,0
-2.5752723446757484,-0.8863650402929084,2015-11-09,404,4370,1.68890730438284,0
-1.4881002904263219,1.0331686714131776,2015-11-10,1805,3496,2.5212689618394997,0
