LST_rur,LST_urb,date,rural_n,urban_n,SUHI,is_extreme
2016-04-16,2686,3228,18.11950374775357,19.14617238028705,1.0266686325334824,0
2016-04-20,1335,1632,13.932940516536853,18.28247479618205,4.349534279645198,0
2016-04-21,1795,207,17.401323091476055,17.622656782392514,0.2213336909164596,0
2016-04-22,743,2685,17.67576522999868,17.75378586606111,0.07802063606242982,0
2016-04-23,1781,2323,16.21403132278674,16.574026963826416,0.3599956410396743,0
2016-04-25,3559,2603,18.680759460385158,19.097990414737648,0.41723095435249036,0
2016-04-26,1401,566,18.168858007512604,17.59606272407674,-0.5727952834358625,0
2016-04-27,504,247,19.10585635745781,22.06152860581975,2.955672248361939,1
2016-04-28,983,2452,21.49683496214945,22.190280886160707,0.6934459240112574,1
2016-04-29,326,528,19.558424474325022,20.51992927779894,0.9615048034739182,1
19.689190367458394,20.402814010263594,2016-05-01,1667,314,0.7136236428051994,0
18.13844036203721,19.54176692616186,2016-05-02,292,32,1.4033265641246508,0
13.043928717864471,14.153097973733423,2016-05-03,2549,1496,1.1091692558689523,0
14.782066787169539,14.283680532445935,2016-05-04,1279,2575,-0.498386254723604,0
18.00244728666801,17.409417329397137,2016-05-05,236,2463,-0.5930299572708719,0
12.289056754502703,12.543300466744501,2016-05-06,2010,135,0.25424371224179865,0
17.347881587953484,17.211658676189657,2016-05-07,159,2516,-0.13622291176382717,0
21.32473592086688,22.81222933636123,2016-05-10,3100,2986,1.4874934154943524,1
20.914927896646493,22.685655122767304,2016-05-12,3770,2686,1.7707272261208118,1
16.11764798864482,15.58121762961086,2016-05-13,1211,836,-0.5364303590339592,0
15.834243837016228,13.437731642007517,2016-05-17,369,1090,-2.396512195008711,0
18.8766693568145,18.72630789076265,2016-05-19,546,251,-0.15036146605184797,0
17.388991840467625,18.107524713760622,2016-05-20,1317,1361,0.7185328732929968,0
17.449699950560067,18.92025411263617,2016-05-21,2296,876,1.4705541620761018,0
15.990948186466811,19.809281566021447,2016-05-22,1316,551,3.8183333795546357,0
18.925251242219222,19.572631719830508,2016-05-24,2532,516,0.6473804776112857,0
21.907481648268035,22.50995562255046,2016-05-25,1882,1954,0.6024739742824252,0
19.60357458121472,20.118628027415046,2016-05-28,2577,2945,0.5150534462003264,0
20.991579321274433,22.374590760782482,2016-05-30,430,1293,1.3830114395080493,0
18.864238601100844,20.185040597934737,2016-05-31,172,378,1.320801996833893,0
2016-06-06,2801,642,19.749508564545778,20.072539742457927,0.3230311779121493,0
2016-06-08,659,2784,22.37129726384444,23.437011413962587,1.065714150118147,0
2016-06-10,2299,2356,21.38588749039372,22.277926990741435,0.892039500347714,0
2016-06-11,3795,2310,21.485606653913326,21.170113881805225,-0.3154927721081009,0
2016-06-15,1738,2635,22.462386804088403,24.15634930180934,1.6939624977209355,0
2016-06-16,2181,3625,22.766076022655774,24.709222737091594,1.9431467144358194,1
2016-06-18,1103,2434,23.709497190601464,25.62393051557647,1.914433324975004,1
2016-06-19,681,670,21.818074997849845,22.173929010093108,0.3558540122432632,0
2016-06-20,1440,2637,21.366054284011252,22.644735984110884,1.2786817000996322,0
2016-06-21,2789,1642,21.327907039222453,22.139516738905478,0.8116096996830251,0
2016-06-22,1305,2654,22.25828437344345,23.52918525536127,1.2709008819178216,0
2016-06-23,3567,850,20.035100415733254,20.057727799557682,0.022627383824428193,0
2016-06-24,1716,2563,21.07874394513457,24.319370210216615,3.240626265082046,0
2016-06-25,2626,356,19.422465350818378,18.6854232272597,-0.7370421235586768,0
2016-06-26,1117,392,21.655565965408414,22.79859545074664,1.143029485338225,0
2016-06-27,3678,1879,21.623988336273978,22.54897349024581,0.9249851539718321,0
2016-06-28,1539,83,21.526100453079717,22.142977346278336,0.6168768931986186,0
2016-06-29,2276,2869,21.40114799112763,21.897376696936398,0.4962287058087682,0
2016-06-30,2390,2135,21.122559096390006,20.955004834939714,-0.16755426145029162,0
21.61403313082221,25.441731591660837,2016-07-01,966,2466,3.8276984608386257,0
