LST_rur,LST_urb,date,rural_n,urban_n,SUHI,is_extreme
21.52737060823576,23.70981240344299,2020-06-01,3320,3724,2.182441795207229,0
24.066000000000034,26.21554868624424,2020-06-02,1303,683,2.149548686244202,0
23.947789158372828,24.925994706660795,2020-06-03,1461,261,0.978205548287967,0
26.531356622011195,28.027985575310307,2020-06-04,3840,3653,1.496628953299112,0
21.947708628005685,23.84930232558141,2020-06-05,839,559,1.901593697575727,0
22.0314340013822,23.351051192842963,2020-06-06,1502,1190,1.3196171914607646,0
20.70912696346441,23.155849144531054,2020-06-07,3874,3658,2.446722181066644,0
18.469647610987177,20.969674091442,2020-06-08,3924,3792,2.500026480454821,0
17.351534612176835,19.7094179622254,2020-06-09,3755,3652,2.357883350048564,0
17.033938618925855,18.850163881000032,2020-06-10,3784,3690,1.8162252620741768,0
20.59018932874358,22.278317864099915,2020-06-11,3834,3646,1.6881285353563342,0
22.413867614299388,24.208507591655387,2020-06-12,3857,3685,1.794639977355999,0
22.031538293694105,24.206967733898136,2020-06-13,3844,3696,2.175429440204031,0
18.912641784516715,21.08962539173534,2020-06-14,3888,3661,2.176983607218624,0
20.532447062447066,23.0322770951022,2020-06-15,3875,3687,2.4998300326551366,0
20.93807271032396,22.59157271502521,2020-06-16,3784,3618,1.6535000047012574,0
19.853659339492427,22.2078647352084,2020-06-17,3935,3740,2.3542053957159688,0
21.5892919326756,24.03024131319272,2020-06-18,3825,3638,2.440949380517118,0
20.646191815497158,23.277474240563784,2020-06-19,3834,3678,2.6312824250666296,0
21.347338108605197,23.40977453978539,2020-06-20,3854,3663,2.0624364311801955,0
22.21102122015919,24.08941023890791,2020-06-21,3863,3666,1.87838901874872,0
23.91399511549816,25.780381910766245,2020-06-22,3853,3691,1.866386795268088,0
23.909671592775076,25.70826195574593,2020-06-23,3833,3638,1.798590362970856,0
22.715131156613204,24.465005257623588,2020-06-24,3883,3707,1.7498741010103842,0
24.548390486087083,27.06175064702695,2020-06-25,2722,3356,2.513360160939868,0
23.943442950441828,24.807055404178044,2020-06-27,2475,2304,0.8636124537362164,0
23.592228358746585,25.71079182023544,2020-06-28,3617,3679,2.118563461488854,0
21.18855956515178,23.353497644073958,2020-06-29,1668,1296,2.164938078922173,0
20.848811817597973,22.84774242303713,2020-06-30,3773,3651,1.998930605439156,0
20.090262016021395,22.59109730453073,2020-07-01,3821,3722,2.5008352885093394,0
22.5905308687616,24.77668895414502,2020-07-02,3890,3658,2.186158085383422,0
24.05675927904825,26.582919876733467,2020-07-03,1788,1399,2.5261605976852124,0
27.40706822372469,28.97006153305205,2020-07-04,3806,3634,1.5629933093273607,1
26.347565112053285,28.030639207507825,2020-07-05,3864,3678,1.6830740954545398,0
25.6530654205608,27.21009745584036,2020-07-06,3838,3657,1.557032035279562,0
24.68561756257698,26.279849368834203,2020-07-07,3870,3648,1.5942318062572234,0
28.77648176164064,30.650436219431647,2020-07-08,3844,3672,1.873954457791008,1
28.09427419851093,29.59126394925415,2020-07-09,3826,3638,1.496989750743218,1
23.77275945753036,24.13222222222227,2020-07-10,1571,885,0.3594627646919157,0
30.67556524835326,31.849078715142976,2020-07-11,2919,3297,1.1735134667897178,1
29.56607010614667,30.937324757330508,2020-07-12,2878,2825,1.3712546511838362,1
30.950858654572965,33.14623797922817,2020-07-13,1480,1994,2.195379324655203,1
29.09100957516041,30.472052495460314,2020-07-14,3835,3636,1.3810429202999046,1
28.778876779510934,30.590331551444585,2020-07-15,3867,3683,1.8114547719336471,1
27.84895181321411,29.77897171989227,2020-07-16,3761,3655,1.930019906678158,1
25.77686819830717,26.909930170466243,2020-07-17,1542,1280,1.133061972159073,0
28.438244281324696,30.147726400133607,2020-07-18,3225,3437,1.7094821188089109,1
25.47680465717984,27.03518064076349,2020-07-19,1028,782,1.558375983583648,0
27.668481499279228,25.951229437229458,2020-07-20,1066,254,-1.71725206204977,0
25.470000000000027,26.35849655172415,2020-07-21,296,175,0.8884965517241241,0
28.146162595562227,28.2798033282905,2020-07-22,925,532,0.1336407327282742,1
28.28634199134201,30.21458876142332,2020-07-23,1306,1350,1.928246770081316,1
23.6510613682093,25.40776861633604,2020-07-24,1824,2314,1.7567072481267374,0
24.679858386535155,25.971926121372057,2020-07-25,2336,2134,1.2920677348369018,0
24.715664400494465,27.283121643707695,2020-07-26,2375,2691,2.5674572432132337,0
28.02906492822338,29.465125839384203,2020-07-27,3817,3638,1.436060911160823,1
28.208866954795035,30.330000000000005,2020-07-28,3871,3659,2.121133045204971,1
28.781346926166208,30.34743093739648,2020-07-29,3834,3641,1.5660840112302736,1
